geo.coordinates
"[ 29.8955949, -90.0945226 ]"
"[ 29.84985858, -90.9674114 ]"
"[ 15.78974, -87.99245999999999 ]"
"[ 32.49292245, -92.40601345 ]"

"[ 32.64090636, -92.06706299 ]"
"[ 29.88220096, -90.04531869 ]"
"[ 31.4008593, -92.46829990000001 ]"



"[ 29.99588898, -90.12063537 ]"
"[ 30.00471893, -90.10307193 ]"

"[ 32.42755256, -93.68650929 ]"
"[ 15.54466, -88.03028999999999 ]"

"[ 30.66969022, -92.26592088 ]"
"[ 30.0260599, -90.05995978 ]"
"[ 30.67549407, -92.42819175 ]"
"[ 30.31785925, -91.90251944000001 ]"
"[ 30.45897185, -92.40928789 ]"
"[ 30.00644568, -90.17276548 ]"
"[ 29.99619287, -90.12222013 ]"
"[ 29.95323094, -90.00080426 ]"
"[ 32.55868549, -92.05918427 ]"
"[ 29.99619287, -90.12222013 ]"
"[ 30.66680883, -92.27490602 ]"

"[ 29.875016, -92.218675 ]"
"[ 29.94387295, -90.07236593 ]"
"[ 29.88220096, -90.04531869 ]"
"[ 30.67549407, -92.42819175 ]"
"[ 32.46751685, -92.08837429 ]"
"[ 32.3497015, -92.67863387 ]"

"[ 29.93642973, -90.07298182 ]"
"[ 29.89117785, -90.05170625 ]"
"[ 29.98059199, -90.23768982 ]"
"[ 32.56264598, -92.05666703 ]"
"[ 14.95389972, -89.77642462 ]"
"[ 30.02646521, -90.06763169 ]"
"[ 14.76523, -88.78197 ]"
"[ 29.91671621, -90.11216100999999 ]"
"[ 30.31785925, -91.90251944000001 ]"
"[ 32.61417, -93.00154999999999 ]"
"[ 32.46752057, -92.0884204 ]"
"[ 29.95025979, -90.09403892 ]"
"[ 29.95015003, -90.09413807999999 ]"
"[ 29.90063394, -90.06159361 ]"
"[ 32.54668101, -93.49261266000001 ]"
"[ 32.55296876, -92.18638097 ]"

"[ 29.96344064, -90.05773544 ]"
"[ 30.0458963, -89.97976391 ]"
"[ 30.67546666, -92.42815973 ]"
"[ 29.89116363, -90.05170428 ]"
"[ 30.02647376, -90.06764593 ]"
"[ 29.95009177, -90.09424662000001 ]"
"[ 32.38979466, -92.2549223 ]"
"[ 30.67546666, -92.42815973 ]"
"[ 32.44703529, -92.09283893 ]"
"[ 29.95057877, -90.06895274999999 ]"
"[ 15.469385, -88.00149306 ]"
"[ 32.5778799, -93.64589293 ]"
"[ 30.01815128, -90.07515038 ]"
"[ 32.56235, -93.0061 ]"
"[ 32.46790322, -92.08887294 ]"
"[ 30.67546666, -92.42815973 ]"
"[ 29.95009177, -90.09424662000001 ]"
"[ 30.0195919, -90.07524308000001 ]"
"[ 29.91670791, -90.11216026 ]"
"[ 30.0458963, -89.97976391 ]"
"[ 32.44703529, -92.09283893 ]"
"[ 32.54779289, -93.4924425 ]"
"[ 32.639275, -93.31020468 ]"

"[ 32.54778304, -93.49245532 ]"

"[ 30.31785925, -91.90251944000001 ]"
"[ 29.95012836, -90.09419952 ]"
"[ 32.44703529, -92.09283893 ]"
"[ 29.84986171, -90.9674167 ]"
"[ 29.94629838, -90.08806647999999 ]"
"[ 32.56235, -93.0061 ]"
"[ 29.9549097, -90.00225349999999 ]"
"[ 32.57796089, -93.64614057 ]"
"[ 29.9546681, -90.07534508000001 ]"
"[ 32.55920498, -92.05885408 ]"
"[ 29.96399001, -90.10972237999999 ]"

"[ 30.2297763, -93.11168290000001 ]"
"[ 30.37699188, -92.00614044 ]"

